
| Код вида оплаты | Наименование вида оплаты | код дохода для НДФЛ |
| 084 | Доплата по районному коэффициенту в командировке | 2000 |
| 085 | Доплата за монтажные работы в командировке | 2000 |
| 086 | Доплата за работу в зоне СВО | 2000 |
| 087 | Единовременные надбавки по приказам и служебным запискам из прибыли предприятия | 2003 |
| 088 | Доплата за работу в приграничной зоне СВО | 2000 |
| 089 | Дотационная выплата на питание в соответствии с п.5.1 Коллективного договора | 4800 |
| 090 | Денежная компенсация стоимости питания в дни привлечения к выполнению работ в особых условиях в выходные и нерабочие праздничные дни, в ночную и вечернюю смену | 4800 |
| 093 | Оплата дополнительных выходных дней, предоставляемых для ухода за детьми - инвалидами (ст.262 ТК РФ) | |
| 095 | Оплата первых 3-х дней пособия по временной нетрудоспособности за счет средств работодателя | 2300 |
| 170 | Оплата труда руководителей по принципу "плавающих" окладов | 2000 |
| 177 | Оплата времени простоя по внутрипроизводственным причинам и причинам, не зависящим от работодателя и работника (стихийные бедствия и т. д.) | 4800 |
| 299 | Компенсация стоимости проездных билетов не работникам предприятия | 2510 |
| 300 | Повторная оплата (компенсация) стоимости санаторно-курортных путевок за счет средств предприятия бывшим работникам предприятия, уволившимся в связи с выходом на пенсию по инвалидности или по старости. | 2510 |
| 301 | Оплата (компенсация) стоимости санаторно-курортных путевок за счет средств бюджетов бюджетной системы РФ | - |
| 302 | Компенсация стоимости проездных документов для отдельных работников | 2510 |
| 303 | Компенсация стоимости прохождения обязательного предварительного медицинского осмотра при оформлении на работу | |
| 304 | Однократная оплата (компенсация) стоимости санаторно-курортных путевок за счет средств предприятия бывшим работникам предприятия, уволившимся в связи с выходом на пенсию по инвалидности или по старости. | |
| 306 | Повторная оплата (компенсация) стоимости санаторно-курортных путевок за счет средств предприятия работникам предприятия | 2510 |
| 307 | Оплата новогодних подарков детям работников предприятия | 2720 |
| 308 | Подарки не работникам АО"НПК "КБМ" | 2720 |
| 309 | Однократная оплата (компенсация) стоимости санаторно-курортных путевок за счет средств предприятия работникам предприятия | |
| 310 | Оплата (компенсация) стоимости путевок в детские оздоровительные лагеря и санаторно-курортные учреждения за счет средств предприятия детям работников сторонних организаций, обслуживающих АО"НПК "КБМ" (однократная) | |
| 311 | Оплата стоимости подарков, полученных работниками предприятия | 2720 |
| 312 | Однократная компенсация стоимости путевок в детские оздоровительные лагеря за счет средств предприятия для детей работников предприятия (на каждого ребенка) | |
| 313 | Повторная компенсация стоимости путевок в детские оздоровительные лагеря за счет средств предприятия для детей работников предприятия (на каждого ребенка) | 4800 |
| 315 | Повторная оплата стоимости санаторно-курортных путевок за счет средств предприятия детям работников предприятия | 2510 |
| 316 | Повторная компенсация работникам стоимости санаторно-курортных путевок за счет средств предприятия для детей работников предприятия | 4800 |
| 317 | Однократная оплата стоимости санаторно-курортных путевок за счет средств предприятия детям и иным членам семьи работников предприятия | |
| 318 | Однократная компенсация работникам стоимости санаторно-курортных путевок за счет средств предприятия для детей и иных членов семьи работников предприятия | |
| 330 | Ежемесячная выплата в размере среднего заработка работникам-участникам СВО, поступившим на военную службу | |
| 338 | Оплата одному из родителей, находящемуся в отпуске по уходу за ребенком в возрасте от 1,5 до 3-х лет и неработающему на условиях неполного рабочего времени, в соответствии с п.3.10 Коллективного договора | 4800 |
| 370 | Вознаграждения членам совета директоров и членам ревизионной комиссии | 2001 |
| 371 | Единовременная материальная помощь иногородним молодым специалистам в связи с обустройством на новом месте жительства | 2760 |
| 372 | Единовременная материальная помощь работникам, возвратившимся на работу после прохождения ими военной службы по призыву | 2760 |
| 373 | Материальная помощь работникам, имеющим многодетные семьи | 2760 |
| 374 | Материальная помощь работнику на проведение высокотехнологичного дорогостоящего лечения, требующего экстренного медицинского вмешательства | 2760 |
| 375 | Материальная помощь работнику в связи с его участием в СВО | |
| 376 | Материальная помощь членам семьи работника в связи с участием работника в СВО | 2760 |
| 380 | Единовременная материальная помощь работникам предприятия (не членам семьи умершего), взявшим на себя обязанности на погребение умершего работника, бывшего работника, уволившегося в связи с уходом на пенсию | 2790 |
| 381 | Помощь в денежной и натуральной форме, а также подарки ветеранам ВОВ, труженикам тыла ВОВ, инвалидам ВОВ и др. категориям в соответствии с п.п.33 ст.217 гл.23НК | 2790 |
| 382 | Материальная помощь не работникам предприятия (не членам семьи умершего), взявшим на себя обязанности на погребение умершего работника, бывшего работника, уволившегося в связи с уходом на пенсию | 2710 |
| 383 | Материальная помощь работникам в связи со стихийным бедствием или другим чрезвычайным обстоятельством в целях возмещения причиненного им материального ущерба или вреда их здоровью, а также пострадавшим от террористических актов на территории РФ | 2760 |
| 384 | Материальная помощь бывшим работникам, уволившимся в связи с выходом на пенсию по инвалидности или по возрасту (к праздничным датам и юбилеям) | 2760 |
| 385 | Единовременная материальная помощь, оказываемая работодателем работнику- члену семьи умершего бывшего работника | 2760 |
| 386 | Единовременная материальная помощь, оказываемая работодателем не работнику-члену семьи умершего работника | 2760 |
| 387 | Единовременная материальная помощь работнику-члену семьи умершего работника | 2760 |
| 388 | Единовременная материальная помощь, оказываемая работодателем не работнику-члену семьи умершего бывшего работника | 2760 |
| 389 | Суммы материальной помощи, оказываемой работодателем бывшим своим работникам, уволившимся в связи с выходом на пенсию по инвалидности или возрасту (тяжелая жизненная ситуация) | 2760 |
| 394 | Компенсационная выплата, связанная с возмещением вреда, причиненного увечьем или иным повреждением здоровья, установленная законодательством РФ | 4800 |
| 395 | Оплата и поощрение сторонним лицам, не состоящим в трудовых отношениях с АО "НПК "КБМ" (в т.ч. выплаты и компенсации в соответствии с п.6.17 Колдоговора) | 4800 |
| 396 | Материальная помощь, предоставленная работникам по иным обстоятельствам | 2760 |
| 397 | Суммы возмещения (оплаты), не превышающие 4000руб., работодателем своим работникам, их супругам, родителям и детям, бывшим своим работникам ( пенсионерам по возрасту), а также инвалидам стоимости приобретенных ими( для них) медикаментов, назначенных им лечащим врачом, определяемые согласно п.28 ст.217 НК РФ | 2770 |
| 399 | Страховые платежи (взносы), уплачиваемые организацией по договорам добровольного пенсионного обеспечения в пользу работников | 2700 |
| 400 | Суточные работникам, постоянная работа которых носит разъездной характер, не превышающие 700 рублей за каждый день выполнения такой работы на территории РФ для формирования отчетности по страховым взносам | 2700 |
| 401 | Выплата субсидий (возмещение части затрат по уплате процентов) по кредиту на приобретение жилья | 2800 |
| 402 | Компенсация первоначального взноса по привлеченным ипотечным кредитам | 4800 |
| 403 | Выплата субсидий (возмещение затрат ) за арендуемое жилье | 4800 |
| 404 | Доходы,полученные от предоставления в аренду или иного использования имущества (кроме аналогичных доходов от сдачи в аренду жилого и нежилого недвижимого имущества, любых транспортных средств и средств связи, компьютерных сетей) | 1400 |
| 406 | Доходы, полученные от сдачи в аренду или иного использования жилого недвижимого имущества | 1401 |
| 407 | Суточные, не превышающие 700 рублей за каждый день нахождения в служебной командировке на территории РФ и не превышающие 2500 рублей за каждый день нахождения в служебной командировке за пределами территории РФ для формирования отчетности по страховым взносам | |
| 408 | Расходы,связанные с командированием, подтвержденные документально | |
| 409 | Суммы платы за обучение по основным и дополнительным профессиональным образовательным программам, в том числе за профессиональную подготовку и переподготовку работников | |
| 410 | Доходы, полученные от сдачи в аренду или иного использования недвижимого имущества, за исключением доходов, полученных от сдачи в аренду или иного использования жилого недвижимого имущества | 1402 |
| 411 | Суммы прекращенных обязательств по уплате задолженности в связи с признанием такой задолженности в установленном порядке безнадежной к взысканию, за исключением указанных в пункте 62.1 статьи 217 НК РФ | 2611 |
| 412 | Ежемесячные стипендии (денежные выплаты), назначенные АО "НПК "КБМ" в соответствии с действующим на предприятии порядком, студентам, заключившим договоры о целевом обучении, кроме государственных стипендий | 4800 |
| 413 | Денежная компенсация взамен выдачи по установленным нормам молока в соответствии с п. 4.9 Коллективного договора | |
| 414 | Доход работника, полученный в натуральной форме (талоны особые условия труда) | 2520 |
| 417 | Суммы оплаты стоимости медицинских услуг работодателем своим работникам-участникам СВО за счет прибыли | |
| 418 | Суммы оплаты стоимости медицинских услуг работодателем членам семьи работников-участников СВО за счет прибыли | |
| 419 | ДМС членам семьи работника-участника СВО | |
| 447 | Доход по договорам гражданско - правового характера лиц, не состоящим в трудовых отношениях с АО"НПК"КБМ", для начисления страховых взносов (не ИП, не самозанятые) | - |
| 475 | Вознаграждения работникам за рационализаторские предложения | 4800 |
| 477 | Суточные работникам,постоянная работа которых носит разъездной характер, превышающие 700 рублей за каждый день выполнения такой работы на территории РФ для формирования отчетности по страховым взносам | |
| 478 | Суточные работникам,постоянная работа которых носит разъездной характер, превышающие 700 рублей за каждый день выполнения такой работы на территории РФ для удержания НДФЛ | 2017 |
| 480 | Суточные, не превышающие размеров,установленных актом Президента РФ и(или) актом Правительства РФ, за каждый день нахождения в служебной командировке в зоне проведения СВО для формирования отчетности по страховым взносам | |
| 486 | Компенсационные выплаты по однодневным командировкам | |
| 487 | Суточные, превышающие размеры,установленные пунктом 1 статьи 217 НК РФ, для начисления страховых взносов | |
| 489 | Компенсация расходов по рублевым и валютным командировкам, документально не подтвержденных | 4800 |
| 490 | Авторские вознаграждения работникам предприятия за создание ОИС для удержания НДФЛ | 2208 |
| 491 | Авторские вознаграждения работникам предприятия за создание ОИС для начисления страховых взносов | - |
| 492 | Авторские вознаграждения работникам предприятия за использование ОИС для удержания НДФЛ | 2209 |
| 493 | Авторские вознаграждения работникам предприятия за использование ОИС для начисления страховых взносов | - |
| 494 | Авторские вознаграждения за исполнение произведений литературы и искусства | 2207 |
| 495 | Авторские вознаграждения бывшим работникам предприятия за использование ОИС для удержания НДФЛ | 2209 |
| 496 | Авторские вознаграждения наследникам авторов за использование ОИС | 2210 |
| 497 | Авторские вознаграждения бывшим работникам предприятия за использование ОИС для начисления страховых взносов | - |

| Код вида удержаний | УДЕРЖАНИЯ ИЗ НАЧИСЛЕННОЙ ЗАРПЛАТЫ | Коды для банка |
|---|---|---|
| 603 | НДФЛ по ставке 13% с доходов, не относящихся к ФЗП | |
| 615 | НДФЛ по ставке 15% с доходов, не относящихся к ФЗП | |
| 616 | НДФЛ по ставке 18 % с доходов, не относящихся к ФЗП | |
| 700 | Выплаченная заработная плата за первую половину месяца | |
| 701 | Выплаты в межрасчетный период, выданные наличными в кассе | |
| 702 | НДФЛ по ставке 13% с доходов, относящихся к ФЗП | |
| 703 | НДФЛ по ставке 15% с доходов, относящихся к ФЗП | |
| 706 | НДФЛ по ставке 18 % с доходов, относящихся к ФЗП | |
| 719 | НДФЛ по ставке 20 % с доходов, относящихся к ФЗП | |
| 721 | НДФЛ по ставке 13 % с доходов, относящихся к ФЗП в части применения районных коэффициентов к заработной плате | |
| 722 | НДФЛ по ставке 15 % с доходов, относящихся к ФЗП в части применения районных коэффициентов к заработной плате | |
| 704 | Удержание долга за работающим по заработной плате | |
| 705 | Выплаты в межрасчетный период, перечисленные на банковскую карту | |
| 707 | Удержания в пользу частных лиц (алименты) по личному заявлению работника | 2 |
| 708 | Удержание взносов работника на негосударственное пенсионное обеспечение | |
| 709 | Удержание штрафов и иных взысканий на основании решений судебных и административных органов | |
| 710 | Удержание в возмещение ущерба | |
| 711 | Удержание непогашенных подотчетных сумм | |
| 713 | Возмещение предварительного медицинского осмотра при оформлении на работу (удержание отрицательное) | |
| 714 | Выплата компенсации взамен выдачи по установленным нормам молока в соответствии с п.4.9 КД (удержание отрицательное) | |
| 715 | Удержание денежных средств на благотворительность по личному заявлению работника | |
| 718 | Удержание профсоюзных взносов членов профсоюза | |

